Date,Exchange Rate,US Interest Rate,Turkey Interest Rate,Turkey GDP Growth Rate,Unemployment,Current Account Balance,Inflation Rate Differential,US GDP Growth Rate,Turkey Public Debt ,Unemployment (US),Unemployment Differential
02/04/12,1.7776,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
03/04/12,1.7823,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
04/04/12,1.7941,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
05/04/12,1.7914,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
06/04/12,1.7946,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
09/04/12,1.7992,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
10/04/12,1.8145,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
11/04/12,1.8082,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
12/04/12,1.7937,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
13/04/12,1.7975,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
16/04/12,1.7962,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
17/04/12,1.7881,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
18/04/12,1.7882,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
19/04/12,1.7917,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
20/04/12,1.793,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
23/04/12,1.7948,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
24/04/12,1.7803,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
25/04/12,1.7699,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
26/04/12,1.762,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
27/04/12,1.7611,0.25,5,-16.543,9.33,-6.228,8.83521,3.3,-4557,8.2,1.13
30/04/12,1.7573,0.25,5,-16.543,9.33,-4.557,8.83521,3.3,-4557,8.2,1.13
01/05/12,1.7545,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
02/05/12,1.7607,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
03/05/12,1.7633,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
04/05/12,1.7583,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
07/05/12,1.7605,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
08/05/12,1.7768,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
09/05/12,1.7942,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
10/05/12,1.7841,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
11/05/12,1.7842,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
14/05/12,1.8097,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
15/05/12,1.8254,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
16/05/12,1.826,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
17/05/12,1.8298,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
18/05/12,1.8358,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
21/05/12,1.8238,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
22/05/12,1.8438,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
23/05/12,1.8502,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
24/05/12,1.8474,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
25/05/12,1.8496,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
28/05/12,1.8369,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
29/05/12,1.8327,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
30/05/12,1.8568,0.25,5,-16.543,9.33,-4.557,6.576234,3.3,-5304,8.2,1.13
31/05/12,1.8673,0.25,5,-16.543,9.33,-5.303,6.576234,3.3,-5304,8.2,1.13
01/06/12,1.8583,0.25,5,-16.543,9.33,-5.303,7.204573,3.3,-3954,8.2,1.13
04/06/12,1.8516,0.25,5,-16.543,9.33,-5.303,7.204573,3.3,-3954,8.2,1.13
05/06/12,1.8463,0.25,5,-16.543,9.33,-5.303,7.204573,3.3,-3954,8.2,1.13
